Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales_Projection
NCL54,12.6,Low Fat,0.082738167,Household,173.5054,OUT035,2004,Small,Tier 2,Supermarket Type1,2585.38
FDR12,12.6,Regular,0.031583781,Baking Goods,172.8764,OUT049,1999,Medium,Tier 1,Supermarket Type1,2620.54
NCC54,17.75,Low Fat,0.097710924,Health and Hygiene,241.9196,OUT046,1997,Small,Tier 1,Supermarket Type1,3507.64
DRN59,15.0,Low Fat,0.0,Hard Drinks,45.906,OUT013,1987,High,Tier 3,Supermarket Type1,673.18
FDX50,,Low Fat,0.130662596,Dairy,110.3228,OUT019,1985,Small,Tier 1,Grocery Store,210.86
FDV31,,Low Fat,0.106200539,Fruits and Vegetables,178.437,OUT027,1985,Medium,Tier 3,Supermarket Type3,4840.54
NCA29,,Low Fat,0.027144323,Household,172.8106,OUT027,1985,Medium,Tier 3,Supermarket Type3,4585.17
FDW60,5.44,Regular,0.017088476,Baking Goods,176.837,OUT049,1999,Medium,Tier 1,Supermarket Type1,2622.81
FDX08,12.85,Low Fat,0.022731909,Fruits and Vegetables,182.4318,OUT017,2007,,Tier 2,Supermarket Type1,2833.58
DRD49,9.895,Low Fat,0.167691399,Soft Drinks,236.4564,OUT013,1987,High,Tier 3,Supermarket Type1,3604.84
FDD33,12.85,Low Fat,0.108192641,Fruits and Vegetables,231.2642,OUT046,1997,Small,Tier 1,Supermarket Type1,3394.01
FDW35,10.6,Low Fat,0.011079996,Breads,42.2454,OUT013,1987,High,Tier 3,Supermarket Type1,640.57
FDJ36,14.5,Regular,0.128985562,Baking Goods,102.9332,OUT017,2007,,Tier 2,Supermarket Type1,1488.84
FDV51,16.35,Low Fat,0.032532744,Meat,166.3842,OUT035,2004,Small,Tier 2,Supermarket Type1,2569.11
FDW36,11.15,Low Fat,0.056932641,Baking Goods,106.4622,OUT046,1997,Small,Tier 1,Supermarket Type1,1493.84
FDH35,18.25,Low Fat,0.060248633,Starchy Foods,165.2526,OUT046,1997,Small,Tier 1,Supermarket Type1,2481.82
NCS30,,Low Fat,0.092575723,Household,130.9652,OUT027,1985,Medium,Tier 3,Supermarket Type3,3166.37
FDN49,17.25,Regular,0.125932787,Breakfast,38.248,OUT017,2007,,Tier 2,Supermarket Type1,605.89
FDL08,10.8,Low Fat,0.04992156,Fruits and Vegetables,246.0144,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.3
FDI09,20.75,Regular,0.129229963,Seafood,240.088,OUT013,1987,High,Tier 3,Supermarket Type1,3646.06
FDP19,11.5,Low Fat,0.174222894,Fruits and Vegetables,129.4652,OUT018,2009,Medium,Tier 3,Supermarket Type2,1605.57
FDU21,11.8,Regular,0.128414313,Snack Foods,33.0558,OUT010,1998,,Tier 3,Grocery Store,80.66
NCP41,16.6,Low Fat,0.016243582,Health and Hygiene,107.6596,OUT045,2002,,Tier 2,Supermarket Type1,1499.64
FDY10,17.6,Low Fat,0.049027044,Snack Foods,112.6176,OUT013,1987,High,Tier 3,Supermarket Type1,1600.49
FDP12,9.8,Regular,0.045451204,Baking Goods,36.2874,OUT018,2009,Medium,Tier 3,Supermarket Type2,500.38
NCN26,10.85,Low Fat,0.028724484,Household,116.0808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1729.8
FDK44,16.6,LF,0.122125769,Fruits and Vegetables,174.4738,OUT013,1987,High,Tier 3,Supermarket Type1,2615.96
FDC28,7.905,Low Fat,0.055072409,Frozen Foods,109.1254,OUT049,1999,Medium,Tier 1,Supermarket Type1,1528.46
FDJ41,,Low Fat,0.022772467,Frozen Foods,263.2594,OUT027,1985,Medium,Tier 3,Supermarket Type3,5193.68
NCT29,12.6,Low Fat,0.064098602,Health and Hygiene,123.5414,OUT035,2004,Small,Tier 2,Supermarket Type1,1861.95
NCH42,,Low Fat,0.063972131,Household,228.401,OUT019,1985,Small,Tier 1,Grocery Store,505.11
FDU60,20.0,Regular,0.060145056,Baking Goods,167.1132,OUT018,2009,Medium,Tier 3,Supermarket Type2,2329.77
FDS02,10.195,Regular,0.14616317,Dairy,193.1794,OUT045,2002,,Tier 2,Supermarket Type1,2842.16
FDC51,10.895,Regular,0.009621861,Dairy,123.073,OUT046,1997,Small,Tier 1,Supermarket Type1,1856.89
FDU03,18.7,Regular,0.091501713,Meat,182.6292,OUT013,1987,High,Tier 3,Supermarket Type1,2838.8
FDX39,14.3,Regular,0.049776901,Meat,211.7586,OUT045,2002,,Tier 2,Supermarket Type1,3119.36
NCY05,13.5,Low Fat,0.092042001,Health and Hygiene,36.6874,OUT010,1998,,Tier 3,Grocery Store,82.3
NCL06,,Low Fat,0.071717648,Household,259.9594,OUT027,1985,Medium,Tier 3,Supermarket Type3,5217.24
FDD32,17.7,Regular,0.0,Fruits and Vegetables,80.0276,OUT035,2004,Small,Tier 2,Supermarket Type1,1120.33
NCN41,17.0,Low Fat,0.052315184,Health and Hygiene,122.773,OUT045,2002,,Tier 2,Supermarket Type1,1856.89
NCX53,20.1,Low Fat,0.014961062,Health and Hygiene,141.5154,OUT049,1999,Medium,Tier 1,Supermarket Type1,1948.33
FDU57,,Regular,0.15679782,Snack Foods,149.8708,OUT019,1985,Small,Tier 1,Grocery Store,308.89
FDQ23,6.55,Low Fat,0.024525828,Breads,104.0332,OUT046,1997,Small,Tier 1,Supermarket Type1,1488.35
FDQ52,17.0,Low Fat,0.1196271,Frozen Foods,249.0434,OUT045,2002,,Tier 2,Supermarket Type1,3534.58
FDC14,14.5,Regular,0.041332726,Canned,40.1454,OUT045,2002,,Tier 2,Supermarket Type1,611.78
FDY09,15.6,Low Fat,0.025195384,Snack Foods,176.8054,OUT035,2004,Small,Tier 2,Supermarket Type1,2587.61
FDQ28,14.0,Regular,0.060549609,Frozen Foods,156.4656,OUT045,2002,,Tier 2,Supermarket Type1,2235.86
FDV25,5.905,LF,0.045652243,Canned,221.0456,OUT046,1997,Small,Tier 1,Supermarket Type1,3196.29
FDJ07,7.26,Low Fat,0.014420795,Meat,116.215,OUT035,2004,Small,Tier 2,Supermarket Type1,1741.23
DRB25,12.3,Low Fat,0.069567714,Soft Drinks,106.0938,OUT049,1999,Medium,Tier 1,Supermarket Type1,1492.71
FDK52,,Low Fat,0.138701966,Frozen Foods,225.4062,OUT019,1985,Small,Tier 1,Grocery Store,505.11
FDY52,,Low Fat,0.007312702,Frozen Foods,63.1536,OUT027,1985,Medium,Tier 3,Supermarket Type3,1642.45
FDB28,6.615,Low Fat,0.093385381,Dairy,197.8426,OUT046,1997,Small,Tier 1,Supermarket Type1,2745.59
FDT36,12.3,Low Fat,0.11125355,Baking Goods,36.0874,OUT035,2004,Small,Tier 2,Supermarket Type1,561.86
FDV25,5.905,Low Fat,0.045910471,Canned,222.1456,OUT017,2007,,Tier 2,Supermarket Type1,3236.63
NCN07,,Low Fat,0.033780319,Others,130.4284,OUT027,1985,Medium,Tier 3,Supermarket Type3,3156.76
FDC57,20.1,Regular,0.054903339,Fruits and Vegetables,193.282,OUT017,2007,,Tier 2,Supermarket Type1,2842.16
FDQ03,15.0,Regular,0.078332053,Meat,236.7248,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.3
FDU23,12.15,Low Fat,0.021846371,Breads,167.1184,OUT017,2007,,Tier 2,Supermarket Type1,2582.76
NCX41,19.0,Low Fat,0.017715927,Health and Hygiene,212.6244,OUT035,2004,Small,Tier 2,Supermarket Type1,3113.58
NCD06,13.0,Low Fat,0.099306497,Household,46.706,OUT035,2004,Small,Tier 2,Supermarket Type1,678.46
FDW08,12.1,LF,0.148682491,Fruits and Vegetables,106.728,OUT045,2002,,Tier 2,Supermarket Type1,1492.08
NCU29,7.685,LF,0.025621558,Health and Hygiene,145.076,OUT017,2007,,Tier 2,Supermarket Type1,2245.12
NCE06,5.825,Low Fat,0.0914091,Household,160.9894,OUT013,1987,High,Tier 3,Supermarket Type1,2380.31
FDV52,20.7,Regular,0.203400773,Frozen Foods,117.9466,OUT010,1998,,Tier 3,Grocery Store,228.33
FDB02,9.695,Regular,0.029329243,Canned,176.637,OUT017,2007,,Tier 2,Supermarket Type1,2593.71
NCR18,15.85,Low Fat,0.020529174,Household,42.9112,OUT045,2002,,Tier 2,Supermarket Type1,651.59
FDK16,9.065,Low Fat,0.0,Frozen Foods,94.4094,OUT049,1999,Medium,Tier 1,Supermarket Type1,1390.07
NCQ29,12.0,Low Fat,0.174459878,Health and Hygiene,258.7278,OUT010,1998,,Tier 3,Grocery Store,512.94
FDZ01,,Regular,0.015860869,Canned,103.499,OUT019,1985,Small,Tier 1,Grocery Store,202.32
FDW27,5.86,Regular,0.150824783,Meat,157.0314,OUT035,2004,Small,Tier 2,Supermarket Type1,2299.57
FDD17,7.5,Low Fat,0.03275986,Frozen Foods,237.8906,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.3
FDW39,6.69,Regular,0.036879682,Meat,176.637,OUT013,1987,High,Tier 3,Supermarket Type1,2628.99
DRH59,10.8,Low Fat,0.058551954,Hard Drinks,72.638,OUT045,2002,,Tier 2,Supermarket Type1,952.77
FDS52,8.89,Low Fat,0.005469959,Frozen Foods,101.7016,OUT013,1987,High,Tier 3,Supermarket Type1,1472.45
FDU40,,Low Fat,0.037222843,Frozen Foods,195.2478,OUT027,1985,Medium,Tier 3,Supermarket Type3,5051.64
NCF54,18.0,Low Fat,0.047337627,Household,173.6422,OUT013,1987,High,Tier 3,Supermarket Type1,2619.43
FDH46,6.935,Regular,0.041366008,Snack Foods,102.8332,OUT045,2002,,Tier 2,Supermarket Type1,1488.84
NCP14,8.275,Low Fat,0.110461228,Household,103.6306,OUT049,1999,Medium,Tier 1,Supermarket Type1,1486.24
FDH50,15.0,Regular,0.0,Canned,185.2266,OUT049,1999,Medium,Tier 1,Supermarket Type1,2822.73
DRF15,18.35,Low Fat,0.05559341,Dairy,153.534,OUT010,1998,,Tier 3,Grocery Store,309.18
FDV27,,Regular,0.039796377,Meat,87.4514,OUT027,1985,Medium,Tier 3,Supermarket Type3,2304.27
NCJ06,20.1,Low Fat,0.034706495,Household,120.1782,OUT049,1999,Medium,Tier 1,Supermarket Type1,1828.11
FDN02,16.5,Low Fat,0.074128491,Canned,205.4638,OUT018,2009,Medium,Tier 3,Supermarket Type2,2629.86
FDQ51,16.0,Regular,0.017578564,Meat,45.9718,OUT049,1999,Medium,Tier 1,Supermarket Type1,676.82
FDQ07,15.1,Regular,0.087901272,Fruits and Vegetables,222.7456,OUT017,2007,,Tier 2,Supermarket Type1,3236.63
FDS45,5.175,reg,0.029541813,Snack Foods,105.1622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1488.96
NCJ06,20.1,Low Fat,0.034722896,Household,121.1782,OUT045,2002,,Tier 2,Supermarket Type1,1853.37
FDD36,13.3,Low Fat,0.021269538,Baking Goods,117.2124,OUT035,2004,Small,Tier 2,Supermarket Type1,1740.95
FDY25,12.0,Low Fat,0.034043337,Canned,182.5976,OUT045,2002,,Tier 2,Supermarket Type1,2835.54
FDU52,7.56,Low Fat,0.063770861,Frozen Foods,154.963,OUT046,1997,Small,Tier 1,Supermarket Type1,2215.49
DRK47,7.905,LF,0.064426754,Hard Drinks,227.0694,OUT017,2007,,Tier 2,Supermarket Type1,3323.18
NCL30,18.1,Low Fat,0.049217255,Household,128.4336,OUT017,2007,,Tier 2,Supermarket Type1,1863.52
FDN22,18.85,Regular,0.13827922,Snack Foods,251.8724,OUT035,2004,Small,Tier 2,Supermarket Type1,3534.58
NCF30,,Low Fat,0.125632716,Household,126.2362,OUT027,1985,Medium,Tier 3,Supermarket Type3,3117.39
FDK03,12.6,Regular,0.073906461,Dairy,256.2356,OUT035,2004,Small,Tier 2,Supermarket Type1,3542.66
FDT45,15.85,Low Fat,0.057637631,Snack Foods,55.0956,OUT017,2007,,Tier 2,Supermarket Type1,775.1
NCC54,,Low Fat,0.097237755,Health and Hygiene,239.6196,OUT027,1985,Medium,Tier 3,Supermarket Type3,5212.78
FDP08,20.5,Regular,0.112867957,Fruits and Vegetables,195.3478,OUT018,2009,Medium,Tier 3,Supermarket Type2,2575.11
FDU44,12.15,Regular,0.058425726,Fruits and Vegetables,163.2552,OUT046,1997,Small,Tier 1,Supermarket Type1,2472.47
DRG39,14.15,Low Fat,0.042173019,Dairy,52.7982,OUT035,2004,Small,Tier 2,Supermarket Type1,762.37
FDU32,8.785,Low Fat,0.026007997,Fruits and Vegetables,121.9414,OUT049,1999,Medium,Tier 1,Supermarket Type1,1850.96
FDY27,6.38,Low Fat,0.0,Dairy,178.5344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2674.03
NCP54,15.35,Low Fat,0.03512042,Household,123.073,OUT013,1987,High,Tier 3,Supermarket Type1,1855.19
NCZ41,19.85,Low Fat,0.064521395,Health and Hygiene,126.4704,OUT049,1999,Medium,Tier 1,Supermarket Type1,1864.48
DRL49,13.15,Low Fat,0.056382065,Soft Drinks,143.4812,OUT013,1987,High,Tier 3,Supermarket Type1,2012.9
FDI05,8.35,Regular,0.127386531,Frozen Foods,76.4354,OUT018,2009,Medium,Tier 3,Supermarket Type2,1041.01
FDY56,16.35,Regular,0.062537976,Fruits and Vegetables,226.5062,OUT045,2002,,Tier 2,Supermarket Type1,3325.99
DRC13,8.26,Regular,0.032414575,Soft Drinks,124.973,OUT013,1987,High,Tier 3,Supermarket Type1,1866.5
NCV29,11.8,Low Fat,0.022972713,Health and Hygiene,179.5686,OUT017,2007,,Tier 2,Supermarket Type1,2651.98
FDR24,17.35,Regular,0.062949401,Baking Goods,88.983,OUT049,1999,Medium,Tier 1,Supermarket Type1,1234.78
FDZ34,6.695,Low Fat,0.076187616,Starchy Foods,191.382,OUT018,2009,Medium,Tier 3,Supermarket Type2,2548.97
FDP37,15.6,Low Fat,0.143078892,Breakfast,126.4994,OUT035,2004,Small,Tier 2,Supermarket Type1,1861.71
FDX08,,Low Fat,0.02249459,Fruits and Vegetables,180.9318,OUT027,1985,Medium,Tier 3,Supermarket Type3,4853.93
FDS57,15.5,Low Fat,0.103652052,Snack Foods,141.447,OUT045,2002,,Tier 2,Supermarket Type1,1928.98
NCG18,15.3,Low Fat,0.023013626,Household,102.4332,OUT049,1999,Medium,Tier 1,Supermarket Type1,1486.73
FDK25,11.6,Regular,0.157470693,Breakfast,168.9474,OUT018,2009,Medium,Tier 3,Supermarket Type2,2329.77
FDH53,20.5,Regular,0.019229584,Frozen Foods,80.9592,OUT049,1999,Medium,Tier 1,Supermarket Type1,1187.46
DRI59,9.5,Low Fat,0.041001013,Hard Drinks,223.0088,OUT018,2009,Medium,Tier 3,Supermarket Type2,2696.33
FDA52,16.2,Regular,0.128422279,Frozen Foods,177.237,OUT046,1997,Small,Tier 1,Supermarket Type1,2587.61
FDT20,10.5,Low Fat,0.069287489,Fruits and Vegetables,38.3164,OUT010,1998,,Tier 3,Grocery Store,82.43
FDE36,,Regular,0.073138055,Baking Goods,162.5868,OUT019,1985,Small,Tier 1,Grocery Store,328.08
FDI24,10.3,LF,0.079189212,Baking Goods,174.737,OUT017,2007,,Tier 2,Supermarket Type1,2580.85
FDB28,6.615,Low Fat,0.093765794,Dairy,199.2426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2629.86
FDV11,9.1,Regular,0.082129741,Breads,176.9054,OUT017,2007,,Tier 2,Supermarket Type1,2587.61
FDP01,20.75,Regular,0.063325948,Breakfast,154.1682,OUT046,1997,Small,Tier 1,Supermarket Type1,2217.68
FDD34,,Low Fat,0.015799406,Snack Foods,161.721,OUT027,1985,Medium,Tier 3,Supermarket Type3,3706.95
FDJ50,,Low Fat,0.021481473,Canned,52.0982,OUT027,1985,Medium,Tier 3,Supermarket Type3,1269.81
FDZ44,8.185,LF,0.038696828,Fruits and Vegetables,118.5808,OUT013,1987,High,Tier 3,Supermarket Type1,1727.98
DRO59,11.8,Low Fat,0.054144012,Hard Drinks,75.8012,OUT035,2004,Small,Tier 2,Supermarket Type1,1048.87
DRB48,16.75,reg,0.024903892,Soft Drinks,39.1822,OUT045,2002,,Tier 2,Supermarket Type1,606.33
FDR21,19.7,Low Fat,0.067208126,Snack Foods,175.337,OUT018,2009,Medium,Tier 3,Supermarket Type2,2494.47
NCE42,21.1,Low Fat,0.017746063,Household,234.7958,OUT010,1998,,Tier 3,Grocery Store,505.11
FDO23,17.85,Low Fat,0.146427351,Breads,93.4436,OUT046,1997,Small,Tier 1,Supermarket Type1,1310.22
NCE30,16.0,Low Fat,0.099539874,Household,212.3902,OUT018,2009,Medium,Tier 3,Supermarket Type2,2634.91
FDQ22,16.75,LF,0.029734029,Snack Foods,37.6822,OUT035,2004,Small,Tier 2,Supermarket Type1,553.65
FDY01,11.8,Regular,0.170628832,Canned,115.3834,OUT045,2002,,Tier 2,Supermarket Type1,1740.16
FDS08,5.735,Low Fat,0.057283416,Fruits and Vegetables,177.837,OUT017,2007,,Tier 2,Supermarket Type1,2585.95
FDG28,9.285,Regular,0.049481039,Frozen Foods,246.7144,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.3
FDQ51,16.0,Regular,0.017622773,Meat,48.1718,OUT018,2009,Medium,Tier 3,Supermarket Type2,534.21
FDB05,5.155,LF,0.083668945,Frozen Foods,249.4776,OUT017,2007,,Tier 2,Supermarket Type1,3534.58
FDO56,10.195,Regular,0.045052492,Fruits and Vegetables,116.5808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1729.8
FDE02,8.71,Low Fat,0.0,Canned,91.9778,OUT018,2009,Medium,Tier 3,Supermarket Type2,1096.64
FDN45,19.35,Low Fat,0.118770807,Snack Foods,223.2088,OUT017,2007,,Tier 2,Supermarket Type1,3237.73
FDS09,8.895,reg,0.081021001,Snack Foods,49.0008,OUT013,1987,High,Tier 3,Supermarket Type1,660.35
NCA54,16.5,Low Fat,0.036790859,Household,181.4318,OUT018,2009,Medium,Tier 3,Supermarket Type2,2498.39
FDP09,19.75,Low Fat,0.056724671,Snack Foods,212.7902,OUT010,1998,,Tier 3,Grocery Store,488.37
FDC53,8.68,Low Fat,0.008853613,Frozen Foods,99.0384,OUT045,2002,,Tier 2,Supermarket Type1,1455.92
NCM55,15.6,Low Fat,0.067103564,Others,186.5924,OUT017,2007,,Tier 2,Supermarket Type1,2816.0
FDL09,19.6,Regular,0.128557634,Snack Foods,169.0816,OUT018,2009,Medium,Tier 3,Supermarket Type2,2329.77
FDA11,,Low Fat,0.075705596,Baking Goods,93.2436,OUT019,1985,Small,Tier 1,Grocery Store,192.02
FDA50,16.25,Low Fat,0.087351931,Dairy,94.541,OUT045,2002,,Tier 2,Supermarket Type1,1391.12
FDC23,18.0,Low Fat,0.018007487,Starchy Foods,178.9686,OUT017,2007,,Tier 2,Supermarket Type1,2648.87
FDE22,9.695,Low Fat,0.029618788,Snack Foods,158.892,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.16
FDD23,9.5,Regular,0.04868553,Starchy Foods,186.8898,OUT046,1997,Small,Tier 1,Supermarket Type1,2816.0
NCA29,10.5,Low Fat,0.027318818,Household,172.7106,OUT049,1999,Medium,Tier 1,Supermarket Type1,2620.54
FDK38,6.65,Low Fat,0.053289916,Canned,147.0734,OUT046,1997,Small,Tier 1,Supermarket Type1,2211.59
DRC13,8.26,Regular,0.032441572,Soft Drinks,121.673,OUT046,1997,Small,Tier 1,Supermarket Type1,1853.27
NCP43,17.75,Low Fat,0.03055448,Others,179.166,OUT049,1999,Medium,Tier 1,Supermarket Type1,2687.44
FDX28,6.325,Low Fat,0.12537274,Frozen Foods,99.7042,OUT049,1999,Medium,Tier 1,Supermarket Type1,1454.0
FDF08,14.3,Regular,0.065308939,Fruits and Vegetables,89.8856,OUT049,1999,Medium,Tier 1,Supermarket Type1,1234.78
FDZ33,10.195,Low Fat,0.10739705,Snack Foods,149.5076,OUT046,1997,Small,Tier 1,Supermarket Type1,2216.68
FDD10,20.6,reg,0.046092237,Snack Foods,178.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2674.03
FDO58,19.6,Low Fat,0.039801037,Snack Foods,162.4526,OUT017,2007,,Tier 2,Supermarket Type1,2466.66
FDI50,8.42,Regular,0.031017124,Canned,230.1352,OUT017,2007,,Tier 2,Supermarket Type1,3394.01
FDO58,19.6,Low Fat,0.039657436,Snack Foods,165.7526,OUT045,2002,,Tier 2,Supermarket Type1,2469.65
FDX08,12.85,Low Fat,0.022585241,Fruits and Vegetables,181.0318,OUT013,1987,High,Tier 3,Supermarket Type1,2730.64
NCK17,11.0,Low Fat,0.063428202,Health and Hygiene,40.848,OUT010,1998,,Tier 3,Grocery Store,82.73
FDF39,14.85,Regular,0.019507599,Dairy,262.091,OUT035,2004,Small,Tier 2,Supermarket Type1,3635.44
FDU45,15.6,Regular,0.059430002,Snack Foods,112.0518,OUT010,1998,,Tier 3,Grocery Store,218.44
NCJ18,12.35,Low Fat,0.164609767,Household,117.6124,OUT018,2009,Medium,Tier 3,Supermarket Type2,1523.0
DRC27,,Low Fat,0.101729922,Dairy,246.2802,OUT019,1985,Small,Tier 1,Grocery Store,507.09
DRC25,5.73,Low Fat,0.045363276,Soft Drinks,85.1882,OUT035,2004,Small,Tier 2,Supermarket Type1,1228.62
FDU59,5.78,Low Fat,0.096368001,Breads,160.6552,OUT035,2004,Small,Tier 2,Supermarket Type1,2407.29
FDU28,19.2,Regular,0.0,Frozen Foods,189.6214,OUT035,2004,Small,Tier 2,Supermarket Type1,2817.16
NCP30,20.5,Low Fat,0.032768691,Household,40.9822,OUT046,1997,Small,Tier 1,Supermarket Type1,615.25
FDB39,11.6,Low Fat,0.038675869,Dairy,55.1272,OUT018,2009,Medium,Tier 3,Supermarket Type2,609.29
FDE41,9.195,Regular,0.063960902,Frozen Foods,86.4566,OUT013,1987,High,Tier 3,Supermarket Type1,1225.73
DRH11,5.98,Low Fat,0.126468543,Hard Drinks,56.3614,OUT010,1998,,Tier 3,Grocery Store,124.42
FDA58,9.395,Low Fat,0.103961646,Snack Foods,236.0932,OUT045,2002,,Tier 2,Supermarket Type1,3459.28
FDU50,5.75,Regular,0.075170211,Dairy,115.3176,OUT046,1997,Small,Tier 1,Supermarket Type1,1740.16
FDM34,19.0,Low Fat,0.067391444,Snack Foods,129.6626,OUT013,1987,High,Tier 3,Supermarket Type1,1874.45
FDM44,,LF,0.030899314,Fruits and Vegetables,101.999,OUT027,1985,Medium,Tier 3,Supermarket Type3,2575.37
FDR39,20.35,Low Fat,0.08396923,Meat,183.8292,OUT045,2002,,Tier 2,Supermarket Type1,2816.35
FDM25,10.695,Regular,0.060788771,Breakfast,175.6712,OUT045,2002,,Tier 2,Supermarket Type1,2563.9
FDQ49,20.2,Regular,0.039308756,Breakfast,156.463,OUT049,1999,Medium,Tier 1,Supermarket Type1,2208.35
DRH25,18.7,Low Fat,0.014652476,Soft Drinks,52.3324,OUT018,2009,Medium,Tier 3,Supermarket Type2,573.15
FDM09,,Regular,0.085515417,Snack Foods,170.979,OUT027,1985,Medium,Tier 3,Supermarket Type3,4223.22
FDL44,,Low Fat,0.021492148,Fruits and Vegetables,161.1894,OUT019,1985,Small,Tier 1,Grocery Store,326.91
NCR42,9.105,Low Fat,0.038638642,Household,32.39,OUT018,2009,Medium,Tier 3,Supermarket Type2,490.27
DRL59,16.75,Low Fat,0.021224126,Hard Drinks,52.7298,OUT046,1997,Small,Tier 1,Supermarket Type1,762.37
FDX43,5.655,Low Fat,0.085204025,Fruits and Vegetables,168.45,OUT013,1987,High,Tier 3,Supermarket Type1,2594.9
DRK47,7.905,Low Fat,0.107230638,Hard Drinks,226.6694,OUT010,1998,,Tier 3,Grocery Store,505.11
FDU48,18.85,Low Fat,0.055583959,Baking Goods,131.7284,OUT018,2009,Medium,Tier 3,Supermarket Type2,1620.25
FDY12,9.8,Regular,0.140896203,Baking Goods,50.2008,OUT045,2002,,Tier 2,Supermarket Type1,671.66
NCN43,12.15,Low Fat,0.006787278,Others,122.573,OUT018,2009,Medium,Tier 3,Supermarket Type2,1562.98
NCM55,15.6,Low Fat,0.066997948,Others,184.0924,OUT018,2009,Medium,Tier 3,Supermarket Type2,2498.39
FDQ21,,Low Fat,0.0,Snack Foods,123.1756,OUT027,1985,Medium,Tier 3,Supermarket Type3,3069.82
FDX13,7.725,Low Fat,0.047773924,Canned,251.0092,OUT035,2004,Small,Tier 2,Supermarket Type1,3534.58
NCK30,,LF,0.060683277,Household,253.3698,OUT027,1985,Medium,Tier 3,Supermarket Type3,5217.24
FDG20,15.5,Regular,0.125883329,Fruits and Vegetables,175.4028,OUT049,1999,Medium,Tier 1,Supermarket Type1,2612.86
DRG27,8.895,Low Fat,0.105705241,Dairy,40.0138,OUT017,2007,,Tier 2,Supermarket Type1,609.63
FDY14,10.3,Low Fat,0.070325509,Dairy,264.3226,OUT018,2009,Medium,Tier 3,Supermarket Type2,2766.11
FDP59,20.85,Regular,0.056455037,Breads,102.7648,OUT035,2004,Small,Tier 2,Supermarket Type1,1488.84
FDU60,20.0,Regular,0.0,Baking Goods,169.1132,OUT017,2007,,Tier 2,Supermarket Type1,2580.45
NCC18,,Low Fat,0.310376916,Household,172.2422,OUT019,1985,Small,Tier 1,Grocery Store,354.86
DRJ39,20.25,Low Fat,0.036531539,Dairy,218.1482,OUT017,2007,,Tier 2,Supermarket Type1,3115.08
FDS07,12.35,LF,0.09991293,Fruits and Vegetables,113.4518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1680.87
FDM08,,Regular,0.053324723,Fruits and Vegetables,222.5088,OUT027,1985,Medium,Tier 3,Supermarket Type3,5147.94
FDP51,13.85,Regular,0.085447928,Meat,120.4124,OUT045,2002,,Tier 2,Supermarket Type1,1847.42
FDU16,19.25,Regular,0.058264085,Frozen Foods,81.9908,OUT035,2004,Small,Tier 2,Supermarket Type1,1207.57
FDH12,9.6,Low Fat,0.084882966,Baking Goods,106.528,OUT013,1987,High,Tier 3,Supermarket Type1,1492.51
DRE48,8.43,Low Fat,0.028999721,Soft Drinks,195.8768,OUT010,1998,,Tier 3,Grocery Store,437.53
NCL42,,Low Fat,0.040176104,Household,244.3144,OUT027,1985,Medium,Tier 3,Supermarket Type3,5217.24
FDR21,19.7,Low Fat,0.067071206,Snack Foods,177.637,OUT045,2002,,Tier 2,Supermarket Type1,2587.61
NCW29,14.0,Low Fat,0.0288575,Health and Hygiene,131.431,OUT035,2004,Small,Tier 2,Supermarket Type1,1866.34
FDO11,8.0,Regular,0.030239711,Breads,250.6092,OUT013,1987,High,Tier 3,Supermarket Type1,3695.2
NCM31,6.095,Low Fat,0.081322858,Others,141.2154,OUT049,1999,Medium,Tier 1,Supermarket Type1,1920.22
FDV35,,Low Fat,0.224472159,Breads,155.4314,OUT019,1985,Small,Tier 1,Grocery Store,312.99
FDF58,13.3,Low Fat,0.00963535,Snack Foods,61.651,OUT017,2007,,Tier 2,Supermarket Type1,827.71
NCE43,12.5,Low Fat,0.103603094,Household,169.1448,OUT049,1999,Medium,Tier 1,Supermarket Type1,2594.9
FDA02,14.0,Regular,0.029717039,Dairy,143.8786,OUT035,2004,Small,Tier 2,Supermarket Type1,2162.92
DRL37,15.5,Low Fat,0.089334085,Soft Drinks,44.477,OUT010,1998,,Tier 3,Grocery Store,93.46
FDR24,17.35,Regular,0.063107714,Baking Goods,91.283,OUT018,2009,Medium,Tier 3,Supermarket Type2,1091.88
FDW59,13.15,Low Fat,0.020748121,Breads,82.7566,OUT049,1999,Medium,Tier 1,Supermarket Type1,1200.49
FDS22,16.85,Regular,0.023190398,Snack Foods,44.8428,OUT049,1999,Medium,Tier 1,Supermarket Type1,655.29
